status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,CACNB2,"Calcium channel, voltage-dependent, beta 2 subunit",,10,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,13
9,CACNG2,"calcium voltage-gated channel auxiliary subunit gamma 2",,22,"Rare Single Gene Mutation",2,0,,6
9,CADM1,"cell adhesion molecule 1",,11,"Rare Single Gene Mutation",2,0,,10
9,CADM2,"Cell adhesion molecule 2",,3,"Rare Single Gene Mutation, Genetic Association",2,0,,7
9,CADPS,"calcium dependent secretion activator",,3,"Rare Single Gene Mutation, Genetic Association",2,0,,5
9,CADPS2,"Ca2+-dependent activator protein for secretion 2",,7,"Rare Single Gene Mutation, Functional",2,0,,13
9,CAMK2A,"calcium/calmodulin dependent protein kinase II alpha",,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,,15
9,CAMK2B,"calcium/calmodulin dependent protein kinase II beta",,7,"Rare Single Gene Mutation, Syndromic",,1,,14
9,CAMK2D,"calcium/calmodulin dependent protein kinase II delta",,4,"Rare Single Gene Mutation, Syndromic",3,1,,4
9,CAMK4,"calcium/calmodulin dependent protein kinase IV",,5,"Rare Single Gene Mutation, Genetic Association",2,0,,6
9,CAMTA2,"calmodulin binding transcription activator 2",,17,"Rare Single Gene Mutation, Syndromic",1,0,2.1,3
9,CAPN12,"Calpain 12",,19,"Rare Single Gene Mutation",2,0,,9
9,CAPRIN1,"Cell cycle associated protein 1",,11,"Rare Single Gene Mutation, Syndromic, Functional",1,0,5.5,7
9,CAPZA2,"capping actin protein of muscle Z-line subunit alpha 2",,7,"Rare Single Gene Mutation",3,0,,3
9,CARD11,"caspase recruitment domain family member 11",,7,"Rare Single Gene Mutation",2,0,,2
9,CASK,"calcium/calmodulin dependent serine protein kinase",,X,"Rare Single Gene Mutation, Syndromic, Functional",1,0,,32
9,CASKIN1,"CASK interacting protein 1",,16,"Rare Single Gene Mutation, Functional",2,0,,9
9,CASZ1,"castor zinc finger 1",,1,"Rare Single Gene Mutation",1,0,9.55,10
9,CAT,catalase,,11,"Rare Single Gene Mutation, Functional",3,0,,4
9,CBX1,"chromobox 1",,17,"Rare Single Gene Mutation, Syndromic",3,1,,3
9,CBX4,"chromobox 4",,17,"Rare Single Gene Mutation",3,0,,3
9,CC2D1A,"Coiled-coil and C2 domain containing 1A",,19,"Rare Single Gene Mutation, Functional",2,0,,21
9,CCDC88C,"Coiled-coil domain containing 88C",,14,"Rare Single Gene Mutation",2,0,,11
9,CCDC91,"coiled-coil domain containing 91",,12,"Rare Single Gene Mutation",2,0,,6
9,CCIN,calicin,,9,"Rare Single Gene Mutation",2,0,,2
9,CCNG1,"cyclin G1",,5,"Rare Single Gene Mutation",2,0,,2
9,CCNK,"cyclin K",,14,"Rare Single Gene Mutation, Syndromic",,1,,7
9,CCSER1,"coiled-coil serine rich protein 1",,4,"Rare Single Gene Mutation",2,0,,4
9,CCT4,"Chaperonin containing TCP1, subunit 4 (delta)",,2,"Rare Single Gene Mutation",2,0,,3
